AÑO;MES;DIA;HORA;VERANO(1)/INVIERNO(0);COEF. PERFIL P2.0TD;COEF. PERFIL P3.0TD;COEF. PERFIL P3.0TDVE;RESERVADO;
2025;01;01;1;0;0.000123083931;0.000083743760;0.000059204387;;
2025;01;01;2;0;0.000108457454;0.000080269219;0.000050238793;;
2025;01;01;3;0;0.000094647039;0.000077533855;0.000037633359;;
2025;01;01;4;0;0.000084874743;0.000074990100;0.000033825154;;
2025;01;01;5;0;0.000079451047;0.000073468038;0.000036820326;;
2025;01;01;6;0;0.000077848804;0.000073714558;0.000028488188;;
2025;01;01;7;0;0.000079077381;0.000076291767;0.000025313190;;
2025;01;01;8;0;0.000083230052;0.000079974597;0.000030896194;;
2025;01;01;9;0;0.000089780264;0.000074031113;0.000042961348;;
2025;01;01;10;0;0.000108845265;0.000071317952;0.000065087108;;
2025;01;01;11;0;0.000128777201;0.000076034781;0.000094505419;;
2025;01;01;12;0;0.000139484276;0.000081253762;0.000125094443;;
2025;01;01;13;0;0.000144117355;0.000086230828;0.000149653781;;
2025;01;01;14;0;0.000151419106;0.000087353185;0.000155857690;;
2025;01;01;15;0;0.000152644344;0.000085437713;0.000153673733;;
2025;01;01;16;0;0.000137354997;0.000081892190;0.000146398397;;
2025;01;01;17;0;0.000131011570;0.000079825697;0.000141284789;;
2025;01;01;18;0;0.000133574892;0.000080816263;0.000139118128;;
2025;01;01;19;0;0.000153033366;0.000097980285;0.000144515744;;
2025;01;01;20;0;0.000168330212;0.000103892973;0.000152224957;;
2025;01;01;21;0;0.000180831262;0.000104013612;0.000132809963;;
2025;01;01;22;0;0.000182162281;0.000099597724;0.000111590191;;
2025;01;01;23;0;0.000162781967;0.000092401055;0.000087535860;;
2025;01;01;24;0;0.000135356966;0.000084032088;0.000059781312;;
2025;01;02;1;0;0.000104591684;0.000074975997;0.000052922477;;
2025;01;02;2;0;0.000086501464;0.000071751418;0.000039067877;;
2025;01;02;3;0;0.000076324867;0.000069957105;0.000028457782;;
2025;01;02;4;0;0.000070990576;0.000069007617;0.000024672199;;
2025;01;02;5;0;0.000069390326;0.000069454629;0.000023825500;;
2025;01;02;6;0;0.000071979404;0.000072957536;0.000020675601;;
2025;01;02;7;0;0.000083680032;0.000086565601;0.000026246412;;
2025;01;02;8;0;0.000106076490;0.000113711698;0.000041828793;;
2025;01;02;9;0;0.000118673321;0.000144234343;0.000077671354;;
2025;01;02;10;0;0.000126438797;0.000163493245;0.000125781814;;
2025;01;02;11;0;0.000132114605;0.000171109224;0.000152295851;;
2025;01;02;12;0;0.000131188982;0.000169045297;0.000156296279;;
2025;01;02;13;0;0.000132263361;0.000165756173;0.000149693539;;
2025;01;02;14;0;0.000140464540;0.000156570813;0.000148073121;;
2025;01;02;15;0;0.000146456769;0.000139437298;0.000145715236;;
2025;01;02;16;0;0.000140057331;0.000131235136;0.000156973966;;
2025;01;02;17;0;0.000134631055;0.000130659662;0.000153123364;;
2025;01;02;18;0;0.000137944254;0.000133810925;0.000165244731;;
2025;01;02;19;0;0.000156048845;0.000146453672;0.000169288055;;
2025;01;02;20;0;0.000173352574;0.000142480151;0.000175654555;;
2025;01;02;21;0;0.000187710973;0.000129721231;0.000164388201;;
2025;01;02;22;0;0.000190702405;0.000114732086;0.000129801008;;
2025;01;02;23;0;0.000170956501;0.000100751763;0.000104003844;;
2025;01;02;24;0;0.000140447252;0.000089219121;0.000075316823;;
2025;01;03;1;0;0.000116901474;0.000083214023;0.000059224453;;
2025;01;03;2;0;0.000095924388;0.000078405074;0.000044513156;;
2025;01;03;3;0;0.000084010817;0.000075852836;0.000037452341;;
2025;01;03;4;0;0.000077800932;0.000074469680;0.000031219607;;
2025;01;03;5;0;0.000075692823;0.000074663668;0.000033233545;;
2025;01;03;6;0;0.000077847108;0.000077806554;0.000027905303;;
2025;01;03;7;0;0.000088950345;0.000091097918;0.000030815108;;
2025;01;03;8;0;0.000111356183;0.000118313461;0.000048355597;;
2025;01;03;9;0;0.000124487887;0.000148357477;0.000092115604;;
2025;01;03;10;0;0.000133058801;0.000167547849;0.000126811804;;
2025;01;03;11;0;0.000139176875;0.000175528197;0.000163649103;;
2025;01;03;12;0;0.000139189808;0.000175081636;0.000167872333;;
2025;01;03;13;0;0.000140946881;0.000173492078;0.000186136149;;
2025;01;03;14;0;0.000149178914;0.000164104379;0.000175468717;;
2025;01;03;15;0;0.000154798392;0.000142516538;0.000169751797;;
2025;01;03;16;0;0.000148199609;0.000129125283;0.000180584360;;
2025;01;03;17;0;0.000142522567;0.000125884443;0.000176998663;;
2025;01;03;18;0;0.000145399758;0.000129253087;0.000171080140;;
2025;01;03;19;0;0.000160934498;0.000144746978;0.000182156323;;
2025;01;03;20;0;0.000173042863;0.000145578885;0.000188472208;;
2025;01;03;21;0;0.000183161999;0.000137682800;0.000181371245;;
2025;01;03;22;0;0.000187216438;0.000124279388;0.000145680643;;
2025;01;03;23;0;0.000172221962;0.000110671904;0.000117294477;;
2025;01;03;24;0;0.000148824612;0.000099003870;0.000096625688;;
2025;01;04;1;0;0.000125376764;0.000087475635;0.000073760122;;
2025;01;04;2;0;0.000104236549;0.000080733774;0.000049495915;;
2025;01;04;3;0;0.000089724688;0.000076829542;0.000042645368;;
2025;01;04;4;0;0.000082396915;0.000075105522;0.000034796770;;
2025;01;04;5;0;0.000078934747;0.000074433116;0.000035107099;;
2025;01;04;6;0;0.000079367947;0.000075958753;0.000032564453;;
2025;01;04;7;0;0.000083111912;0.000081140600;0.000031044019;;
2025;01;04;8;0;0.000092126364;0.000089797443;0.000037549137;;
2025;01;04;9;0;0.000106212959;0.000090968684;0.000067323289;;
2025;01;04;10;0;0.000132208930;0.000098566212;0.000107893986;;
2025;01;04;11;0;0.000149689302;0.000111840503;0.000126171059;;
2025;01;04;12;0;0.000152433707;0.000116030518;0.000154960862;;
2025;01;04;13;0;0.000150979054;0.000117322033;0.000179162299;;
2025;01;04;14;0;0.000159714431;0.000114472323;0.000188962973;;
2025;01;04;15;0;0.000163831256;0.000105914698;0.000179933415;;
2025;01;04;16;0;0.000152707535;0.000101795380;0.000171249285;;
2025;01;04;17;0;0.000143263999;0.000098472670;0.000164780864;;
2025;01;04;18;0;0.000142620448;0.000100113951;0.000156238644;;
2025;01;04;19;0;0.000156405281;0.000117088721;0.000156117553;;
2025;01;04;20;0;0.000167629180;0.000125422217;0.000163189110;;
2025;01;04;21;0;0.000178280235;0.000127164945;0.000150464252;;
2025;01;04;22;0;0.000185074163;0.000120591297;0.000130363837;;
2025;01;04;23;0;0.000170312494;0.000109912469;0.000109190952;;
